srch_id	prop_id
39	4426
39	12202
39	15545
39	24939
39	30828
39	34682
39	42260
39	46465
39	55340
39	55503
39	56537
39	64324
39	68411
39	74077
39	99186
39	108502
39	109855
39	116047
39	138968
39	139848
99	3795
99	6268
99	12415
99	15105
99	24393
99	32349
99	45953
99	51341
99	56800
99	57197
99	57206
99	58816
99	71357
99	83018
99	88144
99	91550
99	101793
99	102395
99	103272
99	115119
99	116644
99	123878
99	131863
99	135513
99	139340
99	139954
174	1157
174	6636
174	11810
174	14868
174	20881
174	22273
174	37786
174	38105
174	40738
174	42504
174	43315
174	47839
174	51347
174	62688
174	64408
174	71096
174	73965
174	74242
174	77394
174	86608
174	87705
174	90077
174	92274
174	104932
174	108340
174	117170
174	117636
174	121976
174	124347
174	129075
174	130837
174	139280
176	9768
176	32015
176	43575
176	43849
176	46161
176	46527
176	48658
176	52394
176	53866
176	56825
176	57948
176	61024
176	62142
176	65085
176	69256
176	69420
176	72681
176	75251
176	76171
176	84957
176	93869
176	98092
176	98214
176	106918
176	115263
176	115908
176	118410
176	123239
176	127400
176	131645
231	18618
231	20153
231	24297
231	28662
231	32845
231	55272
231	56947
231	61807
231	72781
231	91454
231	121857
231	126466
518	4480
518	5023
518	22764
518	25583
518	29625
518	39160
518	39851
518	45402
518	50724
518	51563
518	54555
518	57852
518	58547
518	67987
518	71338
518	82627
518	89613
518	104730
518	105389
518	105746
535	11112
535	16643
535	17579
535	24226
535	27199
535	27626
535	28531
535	33040
535	34653
535	37140
535	39042
535	41082
535	43021
535	43421
535	48356
535	54505
535	56003
535	57793
535	61645
535	64767
535	70573
535	71158
535	84566
535	89112
535	92240
535	107718
535	110158
535	114048
535	120079
535	120741
535	140264
634	975
634	9665
634	10044
634	15724
634	19826
634	32787
634	34222
634	36651
634	36822
634	43881
634	43922
634	46734
634	47846
634	55718
634	55949
634	57325
634	59175
634	67746
634	81549
634	89689
634	93820
634	97131
634	98336
634	105688
634	109846
634	118348
634	121991
634	126301
634	127403
634	133797
634	135774
634	137721
1217	132
1217	10681
1217	12970
1217	13398
1217	14643
1217	21231
1217	24656
1217	27633
1217	27952
1217	49682
1217	50917
1217	70627
1217	73138
1217	74022
1217	77346
1217	84002
1217	84311
1217	91330
1217	91639
1217	101135
1217	107698
1217	111997
1217	117970
1217	119669
1217	121208
1217	121462
1217	125641
1217	140391
1609	5286
1609	7532
1609	9589
1609	21808
1609	22578
1609	28383
1609	30618
1609	40441
1609	57114
1609	57903
1609	58217
1609	62326
1609	64913
1609	66606
1609	68530
1609	71031
1609	71922
1609	82404
1609	82688
1609	84914
1609	101162
1609	113229
1609	115669
1609	118235
1609	118507
1609	121350
1609	121675
1609	122734
1609	133093
1609	134086
1609	134831
1609	134883
1609	139917
1879	317
1879	2356
1879	17405
1879	17596
1879	23378
1879	31225
1879	35810
1879	36592
1879	36767
1879	43456
1879	61012
1879	62064
1879	68163
1879	70613
1879	76162
1879	77622
1879	77788
1879	78726
1879	78818
1879	80778
1879	89757
1879	90224
1879	90664
1879	91093
1879	92024
1879	92766
1879	108436
1879	115252
1879	117779
1879	126633
1879	128598
1879	129417
1935	89
1935	21362
1935	32410
1935	44736
1935	54077
1935	61135
1935	76561
1935	94611
1935	135544
2105	258
2105	8915
2105	28464
2105	50983
2105	61799
2105	62902
2105	92002
2105	102944
2105	109273
2105	116862
2105	129294
2105	138736
2357	3728
2357	8834
2357	21473
2357	25253
2357	30320
2357	44111
2357	48520
2357	49062
2357	59422
2357	60113
2357	89750
2357	94336
2357	95076
2357	95832
2357	98577
2357	105928
2357	109439
2357	112417
2357	133438
2653	10158
2653	12996
2653	20209
2653	29898
2653	66241
2653	69687
2653	84728
2653	97592
3061	351
3061	12447
3061	19321
3061	19435
3061	28248
3061	28460
3061	39435
3061	41854
3061	42937
3061	66602
3061	76656
3061	78283
3061	81759
3061	87377
3061	88233
3061	88901
3061	94816
3061	95711
3061	95728
3061	99178
3061	104480
3061	109396
3061	110789
3061	121774
3061	123941
3061	128655
3061	131712
3379	158
3379	1196
3379	3059
3379	3911
3379	6981
3379	12562
3379	14631
3379	15378
3379	23734
3379	24799
3379	27308
3379	38350
3379	45988
3379	48357
3379	64755
3379	69972
3379	71135
3379	71475
3379	78100
3379	88720
3379	93598
3379	95937
3379	105302
3379	112472
3379	119227
3379	121028
3379	122108
3379	133249
3492	6021
3492	10773
3492	11694
3492	19617
3492	26147
3492	43501
3492	44984
3492	70634
3492	76157
3492	104570
3492	125714
3492	133791
3492	139743
3524	2279
3524	4158
3524	5223
3524	15177
3524	17210
3524	18794
3524	22086
3524	24836
3524	34793
3524	47635
3524	47659
3524	49558
3524	56519
3524	74324
3524	79464
3524	80055
3524	82106
3524	83935
3524	85519
3524	86409
3524	89647
3524	97612
3524	100767
3524	109743
3524	110096
3524	125099
3524	128699
3524	135737
3682	1230
3682	2531
3682	3213
3682	4875
3682	5002
3682	7880
3682	8161
3682	8962
3682	25070
3682	25416
3682	30593
3682	31643
3682	32112
3682	37346
3682	44923
3682	53494
3682	60277
3682	61529
3682	69261
3682	74754
3682	77935
3682	90730
3682	98736
3682	106819
3682	120497
3682	126657
3682	128615
3682	135499
3682	135779
3682	138600
3682	139197
3706	5355
3706	7953
3706	14498
3706	15996
3706	25370
3706	28494
3706	40335
3706	40783
3706	41423
3706	47637
3706	49611
3706	53704
3706	67592
3706	73816
3706	87638
3706	87679
3706	88844
3706	92257
3706	93058
3706	98233
3706	99726
3706	101111
3706	115288
3706	115941
3706	116165
3706	118207
3706	118353
3706	123487
3706	126364
3706	136247
3706	140027
3790	4988
3790	14093
3790	14206
3790	16356
3790	20094
3790	29987
3790	31722
3790	45745
3790	47914
3790	52485
3790	53199
3790	53902
3790	55066
3790	55142
3790	67046
3790	71866
3790	76051
3790	76625
3790	77614
3790	78258
3790	83910
3790	89653
3790	96066
3790	96712
3790	111736
3790	122019
3790	123421
3790	127296
3790	138145
3790	139394
3790	140079
3790	140451
3809	231
3809	5700
3809	10116
3809	15107
3809	15195
3809	16337
3809	20013
3809	21534
3809	23648
3809	31148
3809	32519
3809	43463
3809	46517
3809	52125
3809	55380
3809	58948
3809	65456
3809	67250
3809	73699
3809	80638
3809	83096
3809	85991
3809	87623
3809	89238
3809	92432
3809	93203
3809	99062
3809	99129
3809	103984
3809	106169
3809	116747
3809	128943
3850	1211
3850	2906
3850	3775
3850	7377
3850	7895
3850	8374
3850	25979
3850	38758
3850	40048
3850	41400
3850	45961
3850	52263
3850	56917
3850	57125
3850	62031
3850	63604
3850	70887
3850	77574
3850	78642
3850	79106
3850	80579
3850	87154
3850	90744
3850	90920
3850	96112
3850	98719
3850	106230
3850	106421
3850	107087
3850	113402
3850	120248
3850	121041
3850	123709
3850	124778
3865	901
3865	1585
3865	1797
3865	1927
3865	2433
3865	14680
3865	16426
3865	17689
3865	20065
3865	22694
3865	22896
3865	25115
3865	43288
3865	43816
3865	47909
3865	51146
3865	54440
3865	72124
3865	78370
3865	89524
3865	90677
3865	100131
3865	104531
3865	109758
3865	112661
3865	114772
3865	118304
3865	120950
3865	121062
3865	130421
3865	132631
4073	1990
4073	8799
4073	11243
4073	11522
